"3046  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"225,567,492","13,920,304,859","98,898",91.00,8/27,43.40,12/20,60.63
92,"583,446,108","22,967,225,249","210,619",53.50,1/15,28.10,9/10,37.41
93,"343,025,558","7,575,956,502","113,124",33.90,2/19,10.20,11/01,18.78
94,"717,548,132","9,346,944,942","163,298",16.40,7/05,6.50,11/09,11.72
95,"252,060,539","2,161,849,227","59,642",14.00,1/12,4.70,8/28,7.94
96,"243,727,302","3,189,826,483","74,781",17.90,2/14,7.78,1/03,13.67
97,"158,298,278","2,388,665,046","51,175",20.55,6/10,3.60,11/21,11.20
98,"226,922,915","2,397,714,609","62,859",15.00,12/11,4.21,1/20,9.28
99,"284,770,154","3,870,680,684","85,787",16.60,7/23,9.50,2/09,12.54
100,"55,466,142","615,100,350","18,737",14.30,1/06,5.88,12/19,9.39
101,"27,050,912","176,809,254","10,804",8.10,3/01,4.65,11/22,6.14
102,"34,637,289","210,143,887","13,757",7.47,11/05,4.90,10/18,5.75
程蔼基,ら戳,程基,ら戳
91.00, 91/8/27,3.60, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
