"3052 拾ㄥ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"322,896,154","3,153,894,899","65,723",12.25,7/21,6.75,5/22,9.00
93,"240,327,994","2,147,012,999","43,909",11.10,2/05,4.61,11/24,6.84
94,"79,000,991","408,047,563","17,504",6.27,3/15,4.20,8/24,4.94
95,"83,705,152","366,165,217","17,514",6.50,12/28,2.50,9/15,3.75
96,"237,798,655","1,913,325,902","49,522",11.70,7/30,4.90,2/07,7.55
97,"74,155,347","561,841,804","19,172",10.50,4/15,3.83,10/30,6.87
98,"686,254,038","9,482,513,677","162,765",19.40,12/30,4.96,2/05,11.39
99,"466,029,506","7,847,781,389","129,379",19.40,4/19,12.80,10/20,15.56
100,"92,938,139","1,023,667,133","31,953",14.05,1/27,7.49,12/20,10.51
101,"202,796,581","2,183,842,871","60,254",12.55,5/08,7.90,1/03,10.25
102,"428,207,367","6,525,941,404","124,659",20.20,12/04,9.54,1/02,14.06
程蔼基,ら戳,程基,ら戳
20.20, 102/12/04,2.50, 95/9/15
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
