"3057 踌供 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"7,750,854","505,948,944","4,627",73.50,12/18,61.00,12/26,66.00
92,"245,314,895","14,730,791,711","105,440",79.50,8/06,38.70,11/05,58.91
93,"157,959,962","5,080,932,376","66,138",53.00,1/30,16.40,9/21,29.81
94,"457,358,284","10,262,287,283","140,931",29.40,4/13,12.00,11/08,19.26
95,"549,492,853","10,711,321,441","132,543",29.70,12/26,10.60,6/13,15.44
96,"520,688,984","17,445,132,334","163,388",43.45,2/26,14.75,11/28,29.67
97,"248,868,898","5,290,748,616","78,126",32.00,6/06,9.27,11/20,19.51
98,"533,083,330","12,062,189,197","179,859",29.50,12/16,11.40,1/05,17.91
99,"583,770,399","15,111,002,480","216,477",31.75,12/23,19.00,5/26,23.84
100,"764,043,417","18,407,458,344","288,179",32.70,1/18,13.00,9/26,21.91
101,"336,528,466","5,926,090,562","125,837",23.20,2/22,10.50,10/30,15.90
102,"828,949,825","22,156,515,487","326,362",37.55,12/24,12.05,1/17,22.13
程蔼基,ら戳,程基,ら戳
79.50, 92/8/06,9.27, 97/11/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
