"3059 地垂 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"14,847,185","1,569,250,248","8,496",110.00,12/31,81.00,12/24,94.42
92,"324,601,871","26,483,487,332","133,756",119.50,1/13,54.50,12/22,80.07
93,"300,878,557","9,701,574,712","107,245",63.50,1/27,16.80,10/27,32.56
94,"1,713,945,423","79,378,678,787","526,187",66.00,12/30,21.30,1/10,41.60
95,"1,760,521,032","113,303,036,092","694,230",79.80,1/04,43.40,6/22,61.70
96,"1,146,146,611","74,740,964,901","458,794",86.50,7/24,37.60,12/18,62.26
97,"678,142,111","26,775,002,427","299,625",54.10,5/20,21.00,11/21,39.48
98,"1,477,307,362","69,783,350,994","591,494",65.70,12/31,26.10,1/21,46.32
99,"712,045,541","35,680,445,945","345,268",65.70,1/15,39.80,5/26,48.82
100,"263,947,424","9,713,630,778","146,168",45.60,1/05,23.05,11/25,35.57
101,"466,730,505","9,763,745,159","193,251",29.70,3/22,13.60,10/29,20.29
102,"584,988,861","11,494,498,696","212,015",23.80,9/27,15.75,8/09,18.41
程蔼基,ら戳,程基,ら戳
119.50, 92/1/13,13.60, 101/10/29
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
