"3062 簙 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"279,418,964","13,784,455,937","94,017",75.50,8/01,36.20,9/23,46.79
93,"654,685,358","23,996,739,407","184,898",54.50,3/08,19.10,12/22,33.53
94,"1,890,067,750","46,987,802,802","487,363",36.85,12/30,11.55,11/09,22.95
95,"2,213,720,813","107,846,995,490","720,176",76.50,12/19,33.25,3/22,45.06
96,"2,279,334,983","191,464,491,502","981,336",134.00,7/26,54.20,12/18,82.84
97,"1,962,829,793","82,581,523,785","870,152",65.10,1/02,12.55,11/21,39.95
98,"2,061,863,697","77,484,349,391","846,931",52.00,11/20,21.50,1/21,38.32
99,"778,600,615","32,497,262,358","371,144",51.80,1/19,31.15,5/26,40.09
100,"620,640,892","20,471,736,731","304,522",41.85,1/27,24.00,12/20,32.21
101,"448,523,959","11,772,212,618","213,519",33.45,2/15,19.55,7/25,24.73
102,"966,681,909","30,047,979,456","423,979",37.85,8/15,21.00,4/16,28.38
程蔼基,ら戳,程基,ら戳
134.00, 96/7/26,11.55, 94/11/09
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
