"3130 箂 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
95,"71,068,580","15,077,372,734","50,279",296.00,5/10,161.00,7/24,206.90
96,"29,036,090","5,012,236,945","21,169",217.00,1/26,99.00,12/18,158.47
97,"19,288,709","1,829,546,122","11,916",141.50,5/06,56.50,11/20,99.51
98,"24,730,145","1,809,911,895","15,511",92.80,12/10,59.90,2/27,73.31
99,"14,408,319","1,701,074,782","10,849",146.50,3/25,82.40,2/06,112.58
100,"3,765,275","380,551,312","3,375",122.00,1/24,79.00,9/23,99.23
101,"8,115,263","622,719,700","5,501",91.30,2/04,66.20,8/30,76.06
102,"3,769,161","347,529,635","2,950",109.50,11/29,76.00,1/11,90.06
程蔼基,ら戳,程基,ら戳
296.00, 95/5/10,56.50, 97/11/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
