"3189 春河 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"56,251,569","3,086,085,941","17,305",66.00,11/04,47.70,12/14,54.90
94,"773,894,337","56,723,565,522","275,292",117.00,12/30,40.10,1/14,67.70
95,"1,384,715,999","145,564,014,790","642,025",142.00,4/24,82.00,8/07,103.09
96,"1,310,629,934","158,948,495,643","566,225",152.00,7/23,97.00,1/02,120.28
97,"837,784,552","54,006,153,638","388,338",106.50,1/02,25.90,11/19,62.77
98,"985,198,948","65,180,012,321","464,024",97.50,10/05,28.70,1/21,64.07
99,"1,047,748,631","84,026,207,699","503,902",106.50,12/21,61.80,6/30,78.98
100,"1,466,492,354","147,219,468,474","783,487",133.00,6/03,71.10,12/19,99.97
101,"1,136,470,208","101,904,889,053","633,298",107.50,2/29,77.00,10/29,88.09
102,"569,344,858","58,496,586,815","328,452",118.50,7/04,88.60,1/25,101.89
程蔼基,ら戳,程基,ら戳
152.00, 96/7/23,25.90, 97/11/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
