"3380  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"22,213,000","680,642,200","5,328",32.90,12/22,28.80,12/20,30.46
94,"442,079,198","14,336,166,266","114,842",39.10,12/26,24.10,8/26,30.01
95,"581,117,656","19,089,478,569","174,094",41.75,4/28,24.70,9/15,31.69
96,"1,067,980,510","41,586,182,702","340,863",50.80,7/10,26.00,12/18,37.26
97,"395,999,542","9,832,658,605","135,039",31.00,4/17,12.55,11/21,24.80
98,"1,530,856,675","39,049,796,902","492,678",32.35,6/08,15.10,2/24,24.20
99,"721,964,134","19,894,955,071","268,531",31.75,3/23,22.15,9/01,26.81
100,"509,799,986","11,598,678,164","179,142",26.85,1/25,19.00,11/24,22.72
101,"546,745,207","13,132,250,137","180,540",27.90,3/23,16.30,11/20,22.16
102,"296,855,428","5,787,666,702","119,279",22.15,12/31,16.70,8/12,19.27
程蔼基,ら戳,程基,ら戳
50.80, 96/7/10,12.55, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
