"3406 ド垂 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
94,"13,785,936","6,636,493,514","9,965",503.00,12/20,447.00,12/30,480.39
95,"131,978,713","30,165,059,547","101,462",489.00,1/04,122.00,12/13,224.16
96,"91,306,783","8,165,125,013","66,653",144.50,1/05,45.50,12/21,85.72
97,"194,996,199","10,082,582,792","116,535",82.90,8/15,15.35,11/21,45.15
98,"249,226,361","11,066,563,137","136,134",58.30,12/15,23.00,1/21,43.89
99,"467,745,199","70,196,602,812","298,865",390.00,12/14,37.05,2/08,124.97
100,"896,369,457","230,189,408,169","675,675",411.00,1/17,134.50,12/09,268.26
101,"1,404,681,863","332,544,063,587","1,051,592",357.50,3/05,184.50,10/30,235.77
102,"526,769,471","78,412,415,372","388,858",219.50,1/02,79.00,11/26,160.65
程蔼基,ら戳,程基,ら戳
503.00, 94/12/20,15.35, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
