"3443 承種 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
95,"93,001,181","7,633,612,500","45,983",155.00,12/28,50.00,11/03,82.29
96,"509,426,939","135,076,631,694","331,613",440.00,7/24,156.00,1/02,271.43
97,"854,555,859","168,726,584,859","594,915",283.00,5/16,76.80,11/19,190.55
98,"728,137,904","115,653,469,956","492,195",214.00,5/25,116.00,1/10,156.58
99,"296,129,635","39,364,083,549","196,240",170.50,1/04,99.90,9/01,130.94
100,"504,187,653","56,625,978,707","320,015",138.00,10/19,84.00,4/19,108.30
101,"503,887,549","54,169,144,221","323,056",128.00,2/16,87.00,11/21,104.98
102,"205,190,643","18,511,082,971","141,856",106.00,1/03,64.90,11/04,88.82
程蔼基,ら戳,程基,ら戳
440.00, 96/7/24,50.00, 95/11/03
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
