"3494 港 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
96,"5,504,941","130,249,942","1,781",24.40,12/31,22.90,12/13,23.68
97,"57,287,817","1,023,446,391","25,297",29.00,1/08,9.35,10/28,16.90
98,"229,298,047","5,575,524,739","78,137",36.95,11/20,10.15,1/06,19.88
99,"426,577,345","21,877,738,384","180,731",66.00,3/04,30.80,1/12,46.48
100,"154,762,745","4,322,980,564","72,302",44.45,1/03,15.70,12/01,27.15
101,"122,470,898","2,442,683,184","47,923",28.60,3/13,11.50,11/21,17.67
102,"668,882,883","15,563,050,258","254,453",33.40,12/26,12.10,3/22,18.47
程蔼基,ら戳,程基,ら戳
66.00, 99/3/04,9.35, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
