"3514 琑垂 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
96,"53,033,252","16,923,344,993","32,616",416.00,11/06,223.00,11/30,300.68
97,"989,799,291","171,853,386,659","623,317",353.00,1/04,53.00,12/08,197.51
98,"2,540,298,542","183,876,271,003","1,214,803",107.00,12/08,38.95,9/01,67.11
99,"2,718,275,134","247,096,512,632","1,346,129",107.00,4/02,70.10,1/27,89.58
100,"1,623,787,615","109,771,031,748","858,680",97.80,1/24,22.10,11/24,62.05
101,"1,281,800,570","42,772,643,564","609,492",45.80,2/22,20.05,11/01,31.76
102,"1,672,348,192","50,641,144,696","636,846",36.60,11/05,23.60,8/28,29.34
程蔼基,ら戳,程基,ら戳
416.00, 96/11/06,20.05, 101/11/01
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
