"3515 地篮 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
96,"17,539,776","3,781,856,768","13,514",284.00,11/08,167.00,12/18,199.13
97,"69,563,422","8,155,429,323","53,332",192.50,5/09,37.15,11/21,110.98
98,"111,212,397","12,423,624,021","82,009",157.50,12/31,45.00,1/21,101.79
99,"40,046,734","5,226,753,379","32,524",160.50,1/04,107.00,11/24,123.33
100,"28,559,121","3,137,602,979","24,000",128.00,6/01,92.00,10/04,104.99
101,"31,189,701","3,553,995,816","25,175",129.50,3/05,95.00,1/16,108.74
102,"23,828,941","2,546,718,902","19,211",118.00,12/05,97.70,8/28,103.82
程蔼基,ら戳,程基,ら戳
284.00, 96/11/08,37.15, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
