"3545 Π耟 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
96,"90,855,495","10,337,311,551","51,739",155.50,7/31,73.70,9/21,104.60
97,"220,659,155","12,783,508,046","134,828",100.00,1/02,17.55,11/21,57.13
98,"636,317,089","33,133,770,604","316,993",80.80,12/31,22.75,1/21,48.72
99,"533,658,937","33,908,321,971","283,382",79.00,1/04,43.00,5/26,59.57
100,"602,986,757","28,383,701,603","305,497",70.90,1/27,23.00,12/20,47.58
101,"682,453,641","24,216,400,520","341,721",41.65,3/02,26.00,7/24,34.14
102,"834,860,349","42,226,973,461","444,358",68.60,7/02,35.85,1/17,50.37
程蔼基,ら戳,程基,ら戳
155.50, 96/7/31,17.55, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
