"4526 狥 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"62,071,180","2,927,911,378","23,055",54.50,12/19,37.80,9/15,47.34
93,"87,363,923","4,762,196,642","35,009",65.00,2/17,42.40,12/10,52.37
94,"122,794,053","5,021,508,168","51,245",48.50,1/05,32.05,8/01,40.29
95,"207,508,932","9,808,882,424","87,286",54.30,4/20,40.50,7/20,46.62
96,"109,121,290","4,989,173,843","48,273",52.00,1/02,35.80,12/26,44.54
97,"92,313,757","2,501,097,866","37,009",38.50,5/20,15.60,11/21,29.31
98,"118,546,639","2,430,362,723","47,218",26.05,12/31,14.90,2/02,20.23
99,"370,013,770","12,346,204,634","150,076",44.30,12/24,23.70,2/08,30.54
100,"604,612,605","25,052,133,715","293,338",53.30,4/20,22.35,9/26,37.43
101,"240,028,945","6,792,410,252","118,812",33.55,3/26,20.20,11/22,25.55
102,"119,194,125","3,037,099,748","61,855",29.65,10/11,21.80,1/17,24.44
程蔼基,ら戳,程基,ら戳
65.00, 93/2/17,14.90, 98/2/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
