"4906 タゅ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"332,666,964","23,910,077,768","123,896",94.50,7/28,51.50,9/09,69.39
93,"542,058,969","43,283,126,412","184,835",103.00,3/17,52.50,7/20,77.27
94,"735,124,217","44,937,612,408","276,818",88.00,2/02,38.55,10/28,60.16
95,"1,051,378,986","60,833,419,203","378,748",74.50,12/21,44.50,1/24,56.28
96,"1,115,881,186","88,589,790,100","471,722",99.50,7/26,44.35,12/21,78.06
97,"819,257,498","45,862,310,957","366,364",76.90,5/22,29.00,11/19,54.38
98,"1,324,210,082","70,168,602,900","577,834",63.30,7/29,41.00,2/09,51.96
99,"525,718,445","26,301,141,609","256,412",59.70,1/05,39.10,5/26,47.99
100,"456,299,462","14,833,290,702","217,406",44.95,1/11,18.85,12/20,31.62
101,"597,322,142","17,410,871,096","271,799",35.50,12/25,19.55,1/02,28.30
102,"529,691,743","18,058,487,890","251,647",41.05,2/19,26.40,10/14,33.08
程蔼基,ら戳,程基,ら戳
103.00, 93/3/17,18.85, 100/12/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
