"5203 癟硈 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"35,764,439","2,931,079,358","21,275",94.00,10/07,71.00,11/29,81.38
94,"284,088,155","25,981,571,978","152,959",122.50,8/02,69.80,10/28,89.04
95,"469,150,886","54,271,644,692","246,579",157.00,12/25,80.50,1/23,110.29
96,"291,583,141","42,862,070,174","171,858",187.50,8/29,106.50,12/18,140.43
97,"92,578,325","12,643,897,392","65,384",162.50,5/07,93.00,11/21,133.54
98,"323,848,588","43,873,346,785","200,333",170.00,5/26,109.50,2/02,130.76
99,"212,306,008","29,909,714,666","139,141",168.50,1/19,107.50,11/16,132.35
100,"150,016,341","12,562,444,092","107,544",112.00,1/05,56.80,10/03,80.72
101,"111,576,850","10,640,381,457","80,401",112.00,10/16,62.00,1/02,91.96
102,"73,459,085","6,789,817,417","55,908",105.00,5/20,80.80,8/28,91.12
程蔼基,ら戳,程基,ら戳
187.50, 96/8/29,56.80, 100/10/03
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
