"5608 蝴 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"70,622,771","1,052,302,944","15,852",18.60,12/30,9.50,8/25,13.98
93,"750,927,804","23,977,018,584","214,122",44.30,10/13,15.70,5/18,26.21
94,"555,728,649","17,714,392,763","181,754",39.50,2/21,23.00,10/21,30.79
95,"547,724,995","15,331,288,307","169,600",32.20,12/05,24.30,8/02,27.33
96,"863,828,282","45,473,700,184","288,067",82.00,9/29,30.20,1/08,50.87
97,"655,914,662","33,667,843,123","301,169",76.70,5/16,24.20,10/28,51.05
98,"873,377,753","39,939,384,282","402,638",59.40,7/21,34.30,1/09,45.19
99,"265,248,487","11,281,622,480","135,009",48.05,1/05,37.60,2/06,41.45
100,"143,345,252","4,994,170,769","77,120",39.90,5/10,24.50,12/22,35.00
101,"107,862,413","2,808,684,678","58,367",30.50,2/14,20.05,11/05,25.77
102,"123,040,478","2,596,116,749","57,936",23.40,1/15,19.65,8/30,21.11
程蔼基,ら戳,程基,ら戳
82.00, 96/9/29,9.50, 92/8/25
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
