"6216 ﹡ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"28,142,909","1,622,451,713","17,711",69.00,10/06,47.50,11/16,57.36
94,"91,095,693","4,420,081,233","52,826",70.90,3/11,24.20,10/19,45.14
95,"127,968,067","3,286,394,312","54,722",33.70,1/09,16.20,9/15,23.55
96,"389,275,596","14,868,525,107","156,945",53.70,7/27,22.50,12/21,35.17
97,"80,137,993","1,993,662,386","39,437",32.90,5/19,9.70,11/21,21.52
98,"163,435,888","3,513,287,653","67,222",28.10,12/24,11.85,2/02,19.13
99,"88,672,692","2,253,661,335","39,905",29.60,1/14,21.05,11/24,23.73
100,"19,742,135","369,558,857","11,083",22.50,1/06,13.80,8/09,18.31
101,"93,239,372","2,037,436,732","43,586",26.35,4/02,15.00,1/13,19.43
102,"73,667,966","1,580,726,834","35,486",25.50,12/25,17.20,1/17,19.77
程蔼基,ら戳,程基,ら戳
70.90, 94/3/11,9.70, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
