"6235 地Х Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"106,486,409","4,976,759,136","38,398",62.00,8/23,35.70,11/30,48.94
94,"1,057,807,458","43,265,264,913","355,509",57.70,8/08,27.25,10/31,39.99
95,"719,772,968","23,351,391,872","233,176",42.30,1/06,22.45,8/08,30.56
96,"1,091,932,954","33,472,981,576","340,834",39.70,7/02,17.90,9/21,29.18
97,"691,789,764","7,946,162,041","183,826",23.80,1/02,3.90,11/24,13.67
98,"1,798,795,537","19,550,872,193","380,899",15.10,5/26,4.38,1/21,10.46
99,"371,415,243","3,216,235,580","96,224",12.55,1/19,5.95,11/09,7.87
100,"327,535,186","3,340,390,008","100,695",15.70,11/03,5.40,8/01,8.45
101,"247,908,724","3,236,162,786","82,767",16.30,3/28,9.30,10/29,12.05
102,"90,492,609","967,202,047","30,553",12.65,5/24,7.22,11/25,9.75
程蔼基,ら戳,程基,ら戳
62.00, 93/8/23,3.90, 97/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
