"6282 眃滴 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"126,909,297","4,492,889,318","49,597",40.70,12/02,29.90,9/18,34.47
93,"236,387,918","8,216,827,367","82,744",41.30,2/20,22.30,8/05,31.52
94,"598,966,413","15,477,738,092","159,703",35.35,3/16,14.65,10/19,23.68
95,"484,873,026","6,992,822,555","115,002",19.60,5/02,8.00,8/30,13.11
96,"1,191,704,101","22,551,145,522","257,992",26.85,7/26,12.60,1/05,18.09
97,"679,284,692","9,265,152,174","178,679",17.45,5/13,10.40,1/31,13.59
98,"2,154,065,836","47,252,284,693","573,628",30.80,12/16,11.95,1/21,19.60
99,"1,323,931,237","34,919,558,493","459,731",29.85,1/19,19.80,5/26,25.45
100,"638,966,072","12,494,270,742","222,450",25.70,1/17,12.60,11/24,19.08
101,"1,084,007,659","20,287,153,108","347,631",23.10,10/08,15.00,6/04,18.49
102,"1,193,576,046","33,868,649,995","483,152",35.85,8/20,20.50,1/09,26.92
程蔼基,ら戳,程基,ら戳
41.30, 93/2/20,8.00, 95/8/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
