"6605 腳 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"58,688,374","5,750,116,434","28,457",113.50,3/31,78.00,7/26,95.21
94,"52,880,934","5,869,264,292","28,053",139.50,12/14,97.00,1/11,109.22
95,"60,844,552","6,543,058,287","37,515",136.00,4/21,84.80,12/13,108.76
96,"133,205,830","14,854,331,498","68,693",139.50,7/24,87.00,2/08,109.29
97,"60,181,705","4,419,385,214","34,198",116.00,1/17,36.50,12/05,78.33
98,"102,370,076","6,531,298,950","58,564",87.50,11/17,37.40,1/21,61.78
99,"61,166,445","4,995,098,161","38,224",94.50,8/04,70.10,2/06,80.60
100,"70,722,171","4,692,099,684","42,738",78.50,1/03,50.00,9/27,65.57
101,"38,020,978","2,442,427,884","24,828",71.00,2/08,57.20,1/02,63.76
102,"167,830,689","16,718,153,690","109,718",124.00,12/09,65.80,1/17,89.29
程蔼基,ら戳,程基,ら戳
139.50, 96/7/24,36.50, 97/12/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
