"8046 玭筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
95,"571,886,081","153,005,343,034","284,263",373.00,4/13,203.00,7/26,255.69
96,"869,248,832","186,485,045,379","490,270",253.00,1/09,180.00,5/31,210.44
97,"568,516,751","78,404,284,577","327,366",228.00,1/02,61.50,12/03,130.64
98,"716,111,574","69,525,426,933","389,798",127.00,9/09,60.00,2/02,96.94
99,"472,439,980","59,039,316,478","266,362",154.00,7/12,99.90,8/31,124.85
100,"421,518,037","39,290,023,376","240,159",120.50,6/10,58.70,12/16,94.80
101,"456,784,985","24,092,532,616","267,092",77.50,2/16,31.50,11/21,51.47
102,"517,000,562","19,689,731,980","273,810",45.80,6/13,30.70,4/09,36.24
程蔼基,ら戳,程基,ら戳
373.00, 95/4/13,30.70, 102/4/09
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
