"8112  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
96,"2,482,201","33,755,800",501,13.85,12/31,13.30,12/31,13.80
97,"285,479,817","2,923,286,881","75,530",15.95,4/25,3.10,11/24,9.76
98,"1,516,749,346","31,478,331,634","411,192",30.90,12/31,5.01,1/21,13.76
99,"1,359,389,780","35,922,690,233","425,248",32.90,4/19,18.70,11/04,24.32
100,"856,700,740","20,656,830,919","260,771",28.45,3/25,13.25,12/20,21.06
101,"508,269,744","8,933,762,104","168,631",22.00,3/09,10.10,10/30,14.96
102,"395,707,446","5,868,921,051","132,285",16.85,10/04,11.60,1/09,14.41
程蔼基,ら戳,程基,ら戳
32.90, 99/4/19,3.10, 97/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
