"8201 礚寄 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
96,"19,999,329","1,402,640,891","11,968",83.60,10/31,56.10,11/20,63.75
97,"69,639,979","3,344,832,681","37,776",66.50,5/19,16.70,11/21,40.17
98,"71,777,467","2,368,427,111","36,858",42.00,12/25,19.80,1/08,30.63
99,"47,854,852","1,554,465,726","25,585",39.50,1/04,23.00,11/04,31.15
100,"112,800,626","3,017,220,729","52,094",39.00,1/28,13.50,12/09,21.95
101,"154,116,556","3,188,479,715","62,608",29.00,3/16,12.80,11/19,17.23
102,"53,819,054","794,401,507","21,483",16.25,2/19,12.50,11/13,14.06
程蔼基,ら戳,程基,ら戳
83.60, 96/10/31,12.50, 102/11/13
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
