"8926 ═筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"22,310,330","262,267,987","4,921",12.35,11/06,11.30,9/29,11.73
93,"237,709,895","3,470,381,234","42,312",16.50,3/16,12.20,1/02,14.25
94,"217,308,590","3,210,590,541","35,914",16.40,1/25,11.20,11/25,13.78
95,"141,362,507","1,683,771,858","27,086",13.30,5/11,10.00,9/15,11.77
96,"1,598,221,024","29,974,047,538","384,935",23.05,7/12,12.30,1/10,16.78
97,"1,296,304,612","24,976,718,615","391,673",26.50,5/22,9.61,10/28,15.62
98,"675,781,753","10,343,491,387","181,398",17.60,12/31,11.85,1/21,14.92
99,"326,562,518","5,705,507,023","94,355",19.00,8/03,15.45,2/05,17.25
100,"265,661,796","5,126,117,018","89,350",21.15,3/29,16.90,8/09,19.19
101,"272,149,613","5,883,571,304","105,631",25.70,4/02,18.05,11/26,20.45
102,"158,653,211","3,064,342,294","69,593",21.10,3/07,17.10,12/24,19.18
程蔼基,ら戳,程基,ら戳
26.50, 97/5/22,9.61, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
