"9902  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"259,936,872","24,063,329,891","156,443",123.00,5/09,51.50,10/23,82.31
81,"468,145,780","63,213,409,769","206,517",223.00,2/10,59.50,12/29,115.65
82,"689,189,103","65,813,886,979","295,903",149.00,5/06,48.90,1/08,86.70
83,"402,791,114","41,481,238,423","216,552",125.00,7/28,75.00,3/01,99.01
84,"271,316,655","15,677,509,080","112,287",102.00,1/05,42.50,11/21,70.76
85,"565,296,055","28,333,858,604","203,127",60.50,4/23,41.60,7/17,48.30
86,"1,087,524,002","63,283,707,856","353,736",69.50,4/18,40.10,10/29,55.91
87,"813,501,047","41,063,033,511","287,173",66.50,4/07,26.80,9/01,43.83
88,"348,773,256","8,249,475,345","113,784",29.50,4/21,11.40,12/20,20.95
89,"380,621,885","6,752,431,994","92,831",24.60,4/14,3.90,12/28,11.59
90,"59,408,422","273,516,499","16,833",7.50,2/21,2.00,11/09,4.12
91,"99,394,268","526,690,763","25,771",7.25,4/25,2.28,10/04,4.37
92,"115,489,145","530,175,310","26,758",5.80,10/24,2.80,5/26,4.11
93,"247,224,622","2,143,172,614","55,286",12.85,2/11,4.33,8/19,6.77
94,"139,218,556","858,400,375","33,173",7.85,1/07,3.70,10/27,5.21
95,"82,795,009","556,795,770","26,354",8.45,5/10,4.30,3/20,6.03
96,"253,255,727","3,290,525,513","70,840",22.55,7/19,5.95,3/14,9.85
97,"236,466,806","3,085,597,458","78,419",18.80,3/06,4.77,10/28,10.16
98,"271,314,127","3,063,579,671","77,910",14.80,9/17,4.92,2/02,10.19
99,"181,124,749","2,324,732,171","57,342",14.80,12/31,9.72,2/06,12.40
100,"137,268,144","1,929,408,480","48,934",17.80,1/07,8.57,12/20,12.47
101,"54,855,119","579,147,104","21,027",12.50,3/06,8.50,7/18,9.79
102,"303,579,182","5,235,912,445","99,105",21.90,6/04,9.60,1/07,15.33
程蔼基,ら戳,程基,ら戳
223.00, 81/2/10,2.00, 90/11/09
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
