"9917 い玂 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
82,"29,702,239","3,353,800,879","12,788",127.00,12/24,52.00,12/08,92.30
83,"156,251,398","18,836,972,550","80,854",156.00,1/12,99.00,11/14,115.05
84,"33,661,335","2,865,125,560","15,241",109.00,6/06,61.50,8/07,83.91
85,"73,772,867","6,105,741,439","25,834",113.00,12/31,63.50,6/07,80.11
86,"143,128,980","15,411,529,036","46,857",135.00,7/08,91.50,1/18,107.01
87,"117,085,233","10,413,828,023","40,326",119.00,3/02,59.50,12/31,92.47
88,"675,626,130","53,148,156,529","192,877",102.00,12/16,54.50,2/06,70.89
89,"582,234,408","36,917,532,907","178,555",97.00,1/06,26.70,11/24,56.56
90,"627,865,512","20,671,220,851","150,156",41.50,3/15,25.30,7/19,32.11
91,"345,174,063","10,368,551,039","93,920",36.30,1/11,22.20,10/07,29.00
92,"208,278,389","5,950,908,372","54,232",33.70,10/28,23.70,9/10,28.24
93,"205,455,397","7,038,043,308","59,002",40.00,11/12,29.90,5/05,34.51
94,"153,727,146","7,012,788,129","52,547",51.70,7/15,36.80,1/06,46.34
95,"175,229,425","9,516,709,266","55,989",67.10,5/10,47.00,1/19,54.26
96,"227,197,540","12,410,373,894","87,885",70.00,1/04,46.25,12/18,54.03
97,"159,379,641","8,677,785,607","81,966",70.00,5/20,34.50,10/27,53.57
98,"146,731,063","7,116,085,714","88,708",54.50,12/21,40.60,1/16,48.61
99,"76,116,361","3,945,521,108","43,455",59.50,1/19,48.40,7/19,52.16
100,"93,481,551","5,101,316,757","55,314",58.90,6/08,50.10,8/09,54.55
101,"86,484,624","5,266,576,254","57,104",67.70,7/09,53.50,1/02,61.64
102,"76,902,137","5,376,593,267","55,835",77.20,12/13,64.00,1/08,69.93
程蔼基,ら戳,程基,ら戳
156.00, 83/1/12,22.20, 91/10/07
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
