"9921 エ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
83,"3,045,000","199,056,000","1,998",66.50,12/31,58.50,12/29,61.67
84,"55,928,483","2,427,442,915","23,083",64.00,1/05,34.50,11/11,44.09
85,"222,561,272","10,284,881,479","70,221",54.00,5/04,35.60,2/07,44.07
86,"502,570,858","27,863,553,155","175,180",74.00,8/26,37.50,10/30,51.53
87,"603,862,264","36,865,724,413","186,029",75.50,8/27,39.50,1/12,59.67
88,"494,995,188","22,469,867,971","154,722",63.50,1/05,30.00,12/18,42.44
89,"580,356,553","25,771,769,172","183,479",53.50,5/10,32.50,1/04,43.02
90,"836,099,895","36,581,903,979","236,099",58.00,3/22,26.20,10/09,39.88
91,"944,750,831","37,975,236,699","274,049",49.00,11/18,29.30,1/15,38.22
92,"352,069,882","14,868,679,383","111,226",48.20,1/10,35.30,4/28,40.99
93,"231,941,836","10,360,235,914","70,922",55.00,12/31,37.90,5/18,44.55
94,"117,769,583","6,377,109,229","50,613",64.60,12/29,47.70,5/04,55.19
95,"80,763,127","4,363,050,895","37,220",65.00,1/05,46.00,6/13,54.04
96,"470,488,179","32,707,227,910","187,565",86.50,9/26,49.45,3/14,63.66
97,"319,361,473","25,766,546,133","172,512",100.00,7/29,62.50,1/31,79.57
98,"321,958,283","25,086,907,185","182,924",92.50,7/22,62.00,3/03,80.58
99,"135,372,617","14,013,203,986","90,784",126.00,9/10,82.50,2/10,104.66
100,"125,118,330","13,973,682,639","78,734",124.50,4/06,96.80,8/09,113.00
101,"176,612,548","25,345,453,085","123,614",171.50,8/22,113.50,1/02,143.90
102,"177,050,886","34,762,484,456","138,368",248.00,7/22,152.00,1/25,194.24
程蔼基,ら戳,程基,ら戳
248.00, 102/7/22,26.20, 90/10/09
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
