"9944 穝腞 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"47,147,556","1,485,532,853","9,376",36.10,8/29,25.50,10/08,31.42
92,"207,553,386","5,698,718,708","56,641",30.90,4/30,24.50,10/16,27.02
93,"157,671,488","4,371,324,594","38,537",32.70,2/17,20.30,11/29,24.29
94,"71,170,206","1,210,643,755","19,135",21.40,1/05,14.45,5/25,16.82
95,"227,679,666","5,396,013,413","68,909",31.65,12/29,15.30,1/18,21.30
96,"288,837,272","10,626,489,174","96,633",47.40,8/13,27.70,3/06,36.03
97,"101,542,106","2,935,127,166","41,020",37.75,4/16,12.80,10/27,24.84
98,"135,321,405","2,715,618,679","48,685",28.30,11/16,13.25,1/09,18.93
99,"52,982,364","1,393,314,911","15,624",28.60,8/13,23.40,2/06,26.03
100,"24,768,534","596,230,031","8,096",27.50,1/05,21.30,12/08,23.65
101,"24,738,538","504,104,775","7,412",23.40,3/28,15.10,11/20,19.85
102,"85,431,555","2,093,557,174","39,368",29.85,10/07,16.40,1/02,21.25
程蔼基,ら戳,程基,ら戳
47.40, 96/8/13,12.80, 97/10/27
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
